# WRIST.x,WRIST.y,WRIST.z,THUMB_CMC.x,THUMB_CMC.y,THUMB_CMC.z,THUMB_MCP.x,THUMB_MCP.y,THUMB_MCP.z,THUMB_IP.x,THUMB_IP.y,THUMB_IP.z,THUMB_TIP.x,THUMB_TIP.y,THUMB_TIP.z,INDEX_FINGER_MCP.x,INDEX_FINGER_MCP.y,INDEX_FINGER_MCP.z,INDEX_FINGER_PIP.x,INDEX_FINGER_PIP.y,INDEX_FINGER_PIP.z,INDEX_FINGER_DIP.x,INDEX_FINGER_DIP.y,INDEX_FINGER_DIP.z,INDEX_FINGER_TIP.x,INDEX_FINGER_TIP.y,INDEX_FINGER_TIP.z,MIDDLE_FINGER_MCP.x,MIDDLE_FINGER_MCP.y,MIDDLE_FINGER_MCP.z,MIDDLE_FINGER_PIP.x,MIDDLE_FINGER_PIP.y,MIDDLE_FINGER_PIP.z,MIDDLE_FINGER_DIP.x,MIDDLE_FINGER_DIP.y,MIDDLE_FINGER_DIP.z,MIDDLE_FINGER_TIP.x,MIDDLE_FINGER_TIP.y,MIDDLE_FINGER_TIP.z,RING_FINGER_MCP.x,RING_FINGER_MCP.y,RING_FINGER_MCP.z,RING_FINGER_PIP.x,RING_FINGER_PIP.y,RING_FINGER_PIP.z,RING_FINGER_DIP.x,RING_FINGER_DIP.y,RING_FINGER_DIP.z,RING_FINGER_TIP.x,RING_FINGER_TIP.y,RING_FINGER_TIP.z,PINKY_MCP.x,PINKY_MCP.y,PINKY_MCP.z,PINKY_PIP.x,PINKY_PIP.y,PINKY_PIP.z,PINKY_DIP.x,PINKY_DIP.y,PINKY_DIP.z,PINKY_TIP.x,PINKY_TIP.y,PINKY_TIP.z,B,K,H,Y,W
4.374713897705078125e-01,7.298237681388854980e-01,5.014574355755030410e-08,3.766030073165893555e-01,6.579647064208984375e-01,-1.698530651628971100e-02,3.713507652282714844e-01,5.432895421981811523e-01,-2.355298586189746857e-02,4.041019678115844727e-01,4.530197381973266602e-01,-3.494822978973388672e-02,4.287040233612060547e-01,3.823371827602386475e-01,-4.517302289605140686e-02,4.226242303848266602e-01,4.852027595043182373e-01,7.822276675142347813e-04,3.887276947498321533e-01,3.826821744441986084e-01,-3.108973614871501923e-02,3.616811335086822510e-01,3.209084868431091309e-01,-5.005625635385513306e-02,3.402110934257507324e-01,2.671813368797302246e-01,-5.984418094158172607e-02,4.681792855262756348e-01,4.831133186817169189e-01,-1.214650180190801620e-02,4.559174180030822754e-01,3.492901325225830078e-01,-5.214023217558860779e-02,4.423452019691467285e-01,2.620527744293212891e-01,-7.667674869298934937e-02,4.336977601051330566e-01,1.907932162284851074e-01,-8.571368455886840820e-02,5.100397467613220215e-01,5.028593540191650391e-01,-2.936771512031555176e-02,4.465358257293701172e-01,4.544256627559661865e-01,-8.452592045068740845e-02,4.207673370838165283e-01,5.388040542602539062e-01,-8.781762421131134033e-02,4.175869822502136230e-01,5.987278819084167480e-01,-7.171627134084701538e-02,5.435119271278381348e-01,5.353003144264221191e-01,-4.794947803020477295e-02,4.743929505348205566e-01,5.014921426773071289e-01,-8.513850718736648560e-02,4.417827427387237549e-01,5.671160817146301270e-01,-7.786922156810760498e-02,4.345967471599578857e-01,6.172860860824584961e-01,-6.160683184862136841e-02,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.680982112884521484e-01,7.224972248077392578e-01,5.965293325971288141e-07,6.021183133125305176e-01,6.150434017181396484e-01,5.300264805555343628e-02,5.177252292633056641e-01,5.706741213798522949e-01,2.391145750880241394e-02,4.428802132606506348e-01,5.895197391510009766e-01,-1.065989956259727478e-02,3.715360164642333984e-01,6.067858934402465820e-01,-4.967412725090980530e-02,5.011768341064453125e-01,4.967088103294372559e-01,-1.096313968300819397e-01,3.695626854896545410e-01,4.947074055671691895e-01,-1.416834294795989990e-01,2.894446849822998047e-01,5.040976405143737793e-01,-1.618215441703796387e-01,2.247677743434906006e-01,5.042591094970703125e-01,-1.822147816419601440e-01,5.120243430137634277e-01,5.703904032707214355e-01,-1.515424996614456177e-01,3.516799211502075195e-01,5.718486905097961426e-01,-2.026764154434204102e-01,2.568139731884002686e-01,5.685252547264099121e-01,-2.240252792835235596e-01,1.946255564689636230e-01,5.642150640487670898e-01,-2.483834922313690186e-01,5.173411369323730469e-01,6.560869216918945312e-01,-1.725541800260543823e-01,4.039076566696166992e-01,6.842489838600158691e-01,-1.595328599214553833e-01,4.411228895187377930e-01,7.070691585540771484e-01,-1.010605990886688232e-01,4.806531667709350586e-01,7.004492878913879395e-01,-7.752934098243713379e-02,5.214833617210388184e-01,7.304673194885253906e-01,-1.911795735359191895e-01,4.412747025489807129e-01,7.561280131340026855e-01,-1.609666794538497925e-01,4.768184423446655273e-01,7.633620500564575195e-01,-1.081945225596427917e-01,5.094667673110961914e-01,7.474841475486755371e-01,-8.054935932159423828e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.257502555847167969e-01,7.256481647491455078e-01,-9.163802019429567736e-07,3.507355749607086182e-01,6.854419112205505371e-01,-3.034010156989097595e-02,2.928301692008972168e-01,6.045279502868652344e-01,-4.226468130946159363e-02,2.793913483619689941e-01,5.134646892547607422e-01,-5.490104109048843384e-02,3.090237975120544434e-01,4.598042964935302734e-01,-5.871878191828727722e-02,3.388003110885620117e-01,5.069836378097534180e-01,5.306595470756292343e-03,3.464275896549224854e-01,4.355736374855041504e-01,-3.886682167649269104e-02,3.463980257511138916e-01,5.212652683258056641e-01,-5.815721675753593445e-02,3.448035418987274170e-01,5.486374497413635254e-01,-6.436511874198913574e-02,3.872610628604888916e-01,5.150864720344543457e-01,4.264269489794969559e-03,3.925530612468719482e-01,4.535430371761322021e-01,-4.163752868771553040e-02,3.868655562400817871e-01,5.528037548065185547e-01,-4.651973024010658264e-02,3.826139271259307861e-01,5.595753192901611328e-01,-3.798206523060798645e-02,4.322525560855865479e-01,5.253544449806213379e-01,-6.506461650133132935e-03,4.374474287033081055e-01,4.770958125591278076e-01,-5.232873186469078064e-02,4.267494380474090576e-01,5.692638754844665527e-01,-3.577922284603118896e-02,4.232660830020904541e-01,5.749463438987731934e-01,-1.197261922061443329e-02,4.776373505592346191e-01,5.396289825439453125e-01,-2.047166414558887482e-02,4.765413701534271240e-01,5.005452632904052734e-01,-3.923756629228591919e-02,4.643353819847106934e-01,5.661187767982482910e-01,-2.125429920852184296e-02,4.632276892662048340e-01,5.802367925643920898e-01,-1.693766214884817600e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.327548742294311523e-01,7.483159303665161133e-01,-8.542994578419893514e-07,3.466758728027343750e-01,7.010077238082885742e-01,-2.485517971217632294e-02,2.928642034530639648e-01,6.142231225967407227e-01,-3.765602037310600281e-02,2.836178243160247803e-01,5.229219198226928711e-01,-5.323000997304916382e-02,2.903451621532440186e-01,4.521986544132232666e-01,-6.351955235004425049e-02,3.383749127388000488e-01,5.333328247070312500e-01,-4.539653193205595016e-03,3.396776020526885986e-01,4.601802825927734375e-01,-4.657718539237976074e-02,3.487407565116882324e-01,5.305276513099670410e-01,-7.122796028852462769e-02,3.544938564300537109e-01,5.937945842742919922e-01,-7.928762584924697876e-02,3.864350020885467529e-01,5.293360352516174316e-01,-7.897572591900825500e-03,3.870522081851959229e-01,4.617846310138702393e-01,-5.557615309953689575e-02,3.961091637611389160e-01,5.510976314544677734e-01,-7.151862233877182007e-02,4.012281298637390137e-01,6.214069128036499023e-01,-6.935844570398330688e-02,4.313998520374298096e-01,5.333036780357360840e-01,-1.753502339124679565e-02,4.300800263881683350e-01,4.808328449726104736e-01,-6.377536058425903320e-02,4.345697462558746338e-01,5.656632184982299805e-01,-5.866944417357444763e-02,4.376879036426544189e-01,6.316697001457214355e-01,-4.001660272479057312e-02,4.751786589622497559e-01,5.448722839355468750e-01,-2.922686189413070679e-02,4.689100980758666992e-01,4.789249002933502197e-01,-5.544287338852882385e-02,4.696596860885620117e-01,5.245488286018371582e-01,-4.489099979400634766e-02,4.728392958641052246e-01,5.711716413497924805e-01,-2.764543145895004272e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.891202747821807861e-01,8.350467681884765625e-01,-6.537869694511755370e-07,4.038680195808410645e-01,7.847365140914916992e-01,-3.588156402111053467e-02,3.525189161300659180e-01,7.137930393218994141e-01,-6.541392952203750610e-02,3.221173286437988281e-01,6.391379237174987793e-01,-9.517705440521240234e-02,2.969698011875152588e-01,5.792177915573120117e-01,-1.188974231481552124e-01,4.368772208690643311e-01,6.051034331321716309e-01,-4.011613503098487854e-02,4.495701491832733154e-01,5.248699188232421875e-01,-8.419974148273468018e-02,4.482238888740539551e-01,5.923261046409606934e-01,-1.068524420261383057e-01,4.457941949367523193e-01,6.621188521385192871e-01,-1.160789206624031067e-01,4.908213615417480469e-01,6.107926964759826660e-01,-3.997745364904403687e-02,4.995602667331695557e-01,5.361403822898864746e-01,-9.686800837516784668e-02,4.867761135101318359e-01,6.212005019187927246e-01,-1.130777001380920410e-01,4.777684807777404785e-01,6.893059015274047852e-01,-1.124176308512687683e-01,5.401536822319030762e-01,6.228309273719787598e-01,-4.609624668955802917e-02,5.637804269790649414e-01,5.186650156974792480e-01,-9.007653594017028809e-02,5.566577315330505371e-01,5.330457687377929688e-01,-9.377092123031616211e-02,5.503957271575927734e-01,5.548167824745178223e-01,-8.765092492103576660e-02,5.813270211219787598e-01,6.452473402023315430e-01,-5.480257794260978699e-02,6.287372708320617676e-01,5.808725953102111816e-01,-8.407618105411529541e-02,6.568428277969360352e-01,5.412996411323547363e-01,-9.407986700534820557e-02,6.814194917678833008e-01,4.961348772048950195e-01,-9.663151949644088745e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
3.971343040466308594e-01,7.180790901184082031e-01,-8.930074386626074556e-07,3.191020190715789795e-01,6.649919748306274414e-01,-2.172051183879375458e-02,2.681759595870971680e-01,5.739545226097106934e-01,-2.658563107252120972e-02,2.598977386951446533e-01,4.715708792209625244e-01,-3.430273011326789856e-02,2.849605083465576172e-01,4.068940877914428711e-01,-3.477853164076805115e-02,3.191832602024078369e-01,5.055831670761108398e-01,2.345532178878784180e-02,3.222919404506683350e-01,4.402275383472442627e-01,-1.591119915246963501e-02,3.211953043937683105e-01,5.182346105575561523e-01,-3.349526971578598022e-02,3.232812285423278809e-01,5.444643497467041016e-01,-3.835437819361686707e-02,3.664023280143737793e-01,5.132532119750976562e-01,1.960724219679832458e-02,3.653190135955810547e-01,4.531003534793853760e-01,-2.344025485217571259e-02,3.609760999679565430e-01,5.482685565948486328e-01,-2.899673022329807281e-02,3.645679354667663574e-01,5.631482005119323730e-01,-2.011466957628726959e-02,4.096683263778686523e-01,5.223590135574340820e-01,6.118068005889654160e-03,4.096442162990570068e-01,4.748162031173706055e-01,-4.069036990404129028e-02,4.000839293003082275e-01,5.652665495872497559e-01,-2.593793720006942749e-02,4.026851654052734375e-01,5.821887850761413574e-01,-1.354610663838684559e-03,4.561077952384948730e-01,5.363674759864807129e-01,-9.551214985549449921e-03,4.514291882514953613e-01,4.918106198310852051e-01,-3.047687746584415436e-02,4.398792982101440430e-01,5.579379200935363770e-01,-1.338189095258712769e-02,4.427797496318817139e-01,5.824984312057495117e-01,6.824102252721786499e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.710760414600372314e-01,8.350569605827331543e-01,-6.104846761445514858e-07,4.015223383903503418e-01,7.847366333007812500e-01,-7.926760613918304443e-02,3.579585552215576172e-01,7.107480764389038086e-01,-1.288244724273681641e-01,3.424492478370666504e-01,6.276687979698181152e-01,-1.678879410028457642e-01,3.181588053703308105e-01,5.571529865264892578e-01,-1.959047168493270874e-01,4.346204102039337158e-01,5.654697418212890625e-01,-1.024109721183776855e-01,4.962289035320281982e-01,5.696697831153869629e-01,-1.353919655084609985e-01,4.865407049655914307e-01,6.541349887847900391e-01,-1.334085166454315186e-01,4.631350338459014893e-01,6.977317333221435547e-01,-1.287666261196136475e-01,4.956292510032653809e-01,5.684147477149963379e-01,-8.174180984497070312e-02,5.495499968528747559e-01,5.755674242973327637e-01,-1.279503703117370605e-01,5.197312831878662109e-01,6.686781048774719238e-01,-1.290406733751296997e-01,4.909010827541351318e-01,6.965301036834716797e-01,-1.231913343071937561e-01,5.491154789924621582e-01,5.907834172248840332e-01,-6.609074771404266357e-02,6.091696023941040039e-01,5.546469092369079590e-01,-1.147646009922027588e-01,5.858982801437377930e-01,6.245595216751098633e-01,-1.071927249431610107e-01,5.589001774787902832e-01,6.551191210746765137e-01,-9.339851140975952148e-02,5.867994427680969238e-01,6.259068846702575684e-01,-5.546133220195770264e-02,6.446639299392700195e-01,5.826010704040527344e-01,-9.175734966993331909e-02,6.814545989036560059e-01,5.687433481216430664e-01,-9.727634489536285400e-02,7.128047347068786621e-01,5.405097603797912598e-01,-9.501766413450241089e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
5.805105566978454590e-01,7.420462369918823242e-01,3.285115823814521718e-08,5.248420834541320801e-01,6.187778711318969727e-01,9.563180804252624512e-02,4.434931874275207520e-01,5.640040636062622070e-01,1.142911911010742188e-01,3.673470914363861084e-01,5.702691078186035156e-01,1.184156164526939392e-01,3.047374188899993896e-01,5.923535823822021484e-01,1.164203062653541565e-01,4.116379916667938232e-01,4.779717624187469482e-01,1.232666149735450745e-02,2.721426486968994141e-01,5.005004405975341797e-01,4.908015578985214233e-02,2.044190615415573120e-01,5.211293101310729980e-01,7.856338471174240112e-02,1.449144780635833740e-01,5.389155745506286621e-01,9.198217839002609253e-02,4.066022038459777832e-01,5.424256920814514160e-01,-2.982487529516220093e-02,2.519896626472473145e-01,5.706754326820373535e-01,6.244230549782514572e-03,1.773185878992080688e-01,5.953090786933898926e-01,2.631265856325626373e-02,1.160119473934173584e-01,6.147096157073974609e-01,2.831102907657623291e-02,3.989056944847106934e-01,6.261460781097412109e-01,-5.533621832728385925e-02,3.189791440963745117e-01,6.795614957809448242e-01,1.018221955746412277e-02,3.810297250747680664e-01,7.038795948028564453e-01,3.946841135621070862e-02,4.207071363925933838e-01,6.940770745277404785e-01,3.759342432022094727e-02,3.825695216655731201e-01,7.076894044876098633e-01,-7.424336671829223633e-02,3.525809049606323242e-01,7.477227449417114258e-01,-1.511091645807027817e-02,4.018924832344055176e-01,7.655862569808959961e-01,9.256348013877868652e-03,4.350831210613250732e-01,7.500374913215637207e-01,1.223652437329292297e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.444325566291809082e-01,7.010781764984130859e-01,-8.063448717621213291e-07,3.675705194473266602e-01,6.326084136962890625e-01,-3.405056148767471313e-02,3.168063759803771973e-01,5.295137763023376465e-01,-5.318291112780570984e-02,2.938128709793090820e-01,4.349057376384735107e-01,-7.272643595933914185e-02,2.622090578079223633e-01,3.745355606079101562e-01,-8.535043150186538696e-02,4.056581556797027588e-01,4.387015998363494873e-01,-2.855239063501358032e-02,4.347054362297058105e-01,3.642741143703460693e-01,-7.102041691541671753e-02,4.380142986774444580e-01,4.455363750457763672e-01,-9.161369502544403076e-02,4.297254085540771484e-01,5.092803835868835449e-01,-9.788641333580017090e-02,4.658484756946563721e-01,4.444475471973419189e-01,-2.758908271789550781e-02,4.931011795997619629e-01,3.819475471973419189e-01,-8.193605393171310425e-02,4.766398370265960693e-01,4.776058197021484375e-01,-1.013781428337097168e-01,4.539944231510162354e-01,5.358667373657226562e-01,-1.041244491934776306e-01,5.149263143539428711e-01,4.602048695087432861e-01,-3.203772008419036865e-02,5.435463786125183105e-01,4.091334640979766846e-01,-8.340664952993392944e-02,5.184189081192016602e-01,4.891469776630401611e-01,-8.293250203132629395e-02,4.914484918117523193e-01,5.422340035438537598e-01,-6.881535053253173828e-02,5.557981133460998535e-01,4.822408258914947510e-01,-3.847757354378700256e-02,5.987416505813598633e-01,3.984720408916473389e-01,-6.577566266059875488e-02,6.259229779243469238e-01,3.497491776943206787e-01,-6.686396896839141846e-02,6.451748609542846680e-01,2.946435213088989258e-01,-6.179629638791084290e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
4.414739608764648438e-01,8.014653921127319336e-01,3.871348610573477345e-07,3.822848200798034668e-01,7.641046047210693359e-01,-3.487020358443260193e-02,3.625097870826721191e-01,6.737624406814575195e-01,-5.400493368506431580e-02,3.892557919025421143e-01,5.953948497772216797e-01,-6.904254108667373657e-02,4.449738264083862305e-01,5.414644479751586914e-01,-8.315877616405487061e-02,3.779317140579223633e-01,5.269334912300109863e-01,-2.501917444169521332e-02,3.358496129512786865e-01,4.202447235584259033e-01,-4.475644603371620178e-02,3.092926144599914551e-01,3.508955240249633789e-01,-6.207497045397758484e-02,2.894946336746215820e-01,2.863405346870422363e-01,-7.852723449468612671e-02,4.286488592624664307e-01,5.146232843399047852e-01,-3.094274178147315979e-02,4.167611598968505859e-01,3.901514410972595215e-01,-4.897474125027656555e-02,4.122093915939331055e-01,3.080692291259765625e-01,-6.726809591054916382e-02,4.046440422534942627e-01,2.402997910976409912e-01,-8.232090622186660767e-02,4.748756885528564453e-01,5.377873182296752930e-01,-4.249088838696479797e-02,5.014366507530212402e-01,4.246005117893218994e-01,-7.620429992675781250e-02,5.243307352066040039e-01,3.379341959953308105e-01,-1.040135100483894348e-01,5.415258407592773438e-01,2.686237692832946777e-01,-1.228555142879486084e-01,5.126681923866271973e-01,5.829097032546997070e-01,-5.571967363357543945e-02,4.925566613674163818e-01,5.014220476150512695e-01,-9.439241886138916016e-02,4.625889360904693604e-01,5.267655253410339355e-01,-1.060131266713142395e-01,4.410438239574432373e-01,5.675497055053710938e-01,-1.129370555281639099e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
