# predicted,target,WRIST.x,WRIST.y,WRIST.z,THUMB_CMC.x,THUMB_CMC.y,THUMB_CMC.z,THUMB_MCP.x,THUMB_MCP.y,THUMB_MCP.z,THUMB_IP.x,THUMB_IP.y,THUMB_IP.z,THUMB_TIP.x,THUMB_TIP.y,THUMB_TIP.z,INDEX_FINGER_MCP.x,INDEX_FINGER_MCP.y,INDEX_FINGER_MCP.z,INDEX_FINGER_PIP.x,INDEX_FINGER_PIP.y,INDEX_FINGER_PIP.z,INDEX_FINGER_DIP.x,INDEX_FINGER_DIP.y,INDEX_FINGER_DIP.z,INDEX_FINGER_TIP.x,INDEX_FINGER_TIP.y,INDEX_FINGER_TIP.z,MIDDLE_FINGER_MCP.x,MIDDLE_FINGER_MCP.y,MIDDLE_FINGER_MCP.z,MIDDLE_FINGER_PIP.x,MIDDLE_FINGER_PIP.y,MIDDLE_FINGER_PIP.z,MIDDLE_FINGER_DIP.x,MIDDLE_FINGER_DIP.y,MIDDLE_FINGER_DIP.z,MIDDLE_FINGER_TIP.x,MIDDLE_FINGER_TIP.y,MIDDLE_FINGER_TIP.z,RING_FINGER_MCP.x,RING_FINGER_MCP.y,RING_FINGER_MCP.z,RING_FINGER_PIP.x,RING_FINGER_PIP.y,RING_FINGER_PIP.z,RING_FINGER_DIP.x,RING_FINGER_DIP.y,RING_FINGER_DIP.z,RING_FINGER_TIP.x,RING_FINGER_TIP.y,RING_FINGER_TIP.z,PINKY_MCP.x,PINKY_MCP.y,PINKY_MCP.z,PINKY_PIP.x,PINKY_PIP.y,PINKY_PIP.z,PINKY_DIP.x,PINKY_DIP.y,PINKY_DIP.z,PINKY_TIP.x,PINKY_TIP.y,PINKY_TIP.z
a,no,0.44857603311538696,0.7517390251159668,-6.047382328233653e-08,0.531303346157074,0.7092524766921997,-0.05113348364830017,0.5802906155586243,0.6020888686180115,-0.06563487648963928,0.560127854347229,0.5032774209976196,-0.07665601372718811,0.5556280612945557,0.4240871071815491,-0.08651865273714066,0.5728074312210083,0.48806411027908325,-0.00818732101470232,0.5732811689376831,0.4308758080005646,-0.05991923809051514,0.5626174211502075,0.40188753604888916,-0.09672634303569794,0.5533586144447327,0.391396701335907,-0.11575324088335037,0.5010343790054321,0.4816344082355499,-0.001457231119275093,0.47408896684646606,0.4279642105102539,-0.06930151581764221,0.46371304988861084,0.48702943325042725,-0.09744089096784592,0.46508875489234924,0.5414751768112183,-0.09696955978870392,0.43210992217063904,0.4933869242668152,-0.004088948480784893,0.39929163455963135,0.46634191274642944,-0.08485609292984009,0.41691282391548157,0.5590523481369019,-0.08437524735927582,0.44227689504623413,0.6218575239181519,-0.05862218514084816,0.3656560182571411,0.5239608287811279,-0.009566792286932468,0.3411429524421692,0.5037350058555603,-0.07827866077423096,0.368008553981781,0.5763528347015381,-0.07858331501483917,0.40038174390792847,0.621330201625824,-0.05812191590666771
bye,bye,0.615743100643158,0.7187445163726807,2.561037888426654e-07,0.7378499507904053,0.6859328746795654,-0.04955378919839859,0.8415096998214722,0.577814519405365,-0.056335631757974625,0.870397686958313,0.4723431169986725,-0.058724284172058105,0.8431363105773926,0.3964973986148834,-0.05933815985918045,0.7643098831176758,0.4257916808128357,-0.005794489290565252,0.7798085808753967,0.3333389461040497,-0.03452112898230553,0.7831676006317139,0.2816660404205322,-0.06562309712171555,0.7836772203445435,0.2506217956542969,-0.08503124117851257,0.6939018964767456,0.4061329662799835,0.0008504008292220533,0.7042484283447266,0.29506999254226685,-0.021832488477230072,0.7085901498794556,0.24539324641227722,-0.049239631742239,0.7115648984909058,0.2283554971218109,-0.06645338982343674,0.6233202219009399,0.4083199203014374,-0.0016021460760384798,0.6308846473693848,0.2996945381164551,-0.025840185582637787,0.6332186460494995,0.24565565586090088,-0.04595355689525604,0.6356646418571472,0.21914300322532654,-0.05685727670788765,0.5469338297843933,0.43344295024871826,-0.0095590865239501,0.5550975203514099,0.34056562185287476,-0.031246356666088104,0.5600759387016296,0.2849973440170288,-0.04188596457242966,0.5651317238807678,0.24370671808719635,-0.04663056135177612
project,project,0.7763266563415527,0.6436212658882141,4.425804434049496e-07,0.764053225517273,0.5314139127731323,-0.056042272597551346,0.6859056949615479,0.4395511746406555,-0.0729873850941658,0.604576826095581,0.3837178349494934,-0.08353833109140396,0.5377317070960999,0.34409159421920776,-0.0935543030500412,0.5083457827568054,0.4860325753688812,-0.04169123247265816,0.384766548871994,0.4687129259109497,-0.07487021386623383,0.3049018383026123,0.46464669704437256,-0.10515698790550232,0.23736163973808289,0.46764490008354187,-0.12641116976737976,0.48353567719459534,0.5576726198196411,-0.035791803151369095,0.3457215130329132,0.5418320894241333,-0.06419077515602112,0.2559349536895752,0.535968542098999,-0.09224699437618256,0.18256521224975586,0.5362255573272705,-0.11237405240535736,0.4852781593799591,0.6271326541900635,-0.036660630255937576,0.35983890295028687,0.6107140779495239,-0.06438429653644562,0.2828558683395386,0.59954434633255,-0.08451933413743973,0.216856449842453,0.5915100574493408,-0.09727165848016739,0.5087890625,0.6972658634185791,-0.04299308732151985,0.41230085492134094,0.6859540939331055,-0.06932812929153442,0.3508663773536682,0.6745449304580688,-0.08128049969673157,0.2945407032966614,0.6616348028182983,-0.08731228113174438
bye,bye,0.39775383472442627,0.7290429472923279,5.799789164484537e-07,0.5034350752830505,0.6773259043693542,-0.042407676577568054,0.5731846690177917,0.5726446509361267,-0.049250196665525436,0.5738495588302612,0.48263856768608093,-0.05268707871437073,0.5344058871269226,0.424307256937027,-0.056303951889276505,0.48076194524765015,0.44063398241996765,-0.014839543960988522,0.47933319211006165,0.3314457833766937,-0.040092941373586655,0.4731610417366028,0.25902044773101807,-0.06515514850616455,0.46447843313217163,0.197971373796463,-0.08285687863826752,0.4122827649116516,0.4361792504787445,-0.013833407312631607,0.40704184770584106,0.31885984539985657,-0.036212414503097534,0.4043195843696594,0.2431342452764511,-0.061442404985427856,0.4014038145542145,0.18295636773109436,-0.07882875204086304,0.3492603898048401,0.44900035858154297,-0.019803399220108986,0.3391324579715729,0.33506572246551514,-0.044198423624038696,0.34023261070251465,0.261543333530426,-0.06403924524784088,0.3430667817592621,0.20368953049182892,-0.07560133188962936,0.28512701392173767,0.4785063564777374,-0.030541719868779182,0.2713814675807953,0.37610918283462524,-0.0540190264582634,0.2717977464199066,0.3124825358390808,-0.06520500779151917,0.27763819694519043,0.25744837522506714,-0.07073670625686646
d,d,0.6263799667358398,0.6275157928466797,2.3523364234279143e-07,0.5457998514175415,0.6212719082832336,-0.07299868017435074,0.4505466818809509,0.5666066408157349,-0.09064973890781403,0.3577847480773926,0.5200231075286865,-0.09687307476997375,0.29496511816978455,0.47972121834754944,-0.09919623285531998,0.5249959230422974,0.39180755615234375,-0.05539190396666527,0.5222519636154175,0.24438931047916412,-0.09643951803445816,0.5115842819213867,0.14787307381629944,-0.12847240269184113,0.5076645612716675,0.07503142952919006,-0.1484665423631668,0.5047340989112854,0.38246482610702515,-0.03204157203435898,0.3931038975715637,0.32447004318237305,-0.08112230896949768,0.3288962244987488,0.383109986782074,-0.11387990415096283,0.30843207240104675,0.44487616419792175,-0.1260024607181549,0.48570695519447327,0.38859766721725464,-0.01583966799080372,0.3735286295413971,0.34216201305389404,-0.06931240856647491,0.33025145530700684,0.40440234541893005,-0.0921395942568779,0.32003697752952576,0.4578491747379303,-0.09195508062839508,0.4748983681201935,0.3988736569881439,-0.0043139830231666565,0.3862687051296234,0.37777602672576904,-0.05006654933094978,0.34760600328445435,0.41709646582603455,-0.06634171307086945,0.3418544828891754,0.4617028832435608,-0.06552187353372574
project,project,0.6652809381484985,0.5993767976760864,6.045751206329442e-07,0.6473026871681213,0.504964292049408,-0.04417308792471886,0.5660987496376038,0.42967551946640015,-0.05894913896918297,0.48317211866378784,0.3864746689796448,-0.06759572774171829,0.4103776812553406,0.3617132306098938,-0.07642483711242676,0.4314247667789459,0.48260757327079773,-0.04454425722360611,0.3153764605522156,0.46846356987953186,-0.07204964011907578,0.23998989164829254,0.4663316011428833,-0.09369861334562302,0.18067577481269836,0.4685627222061157,-0.10853249579668045,0.41375574469566345,0.5426132082939148,-0.039191678166389465,0.2875942289829254,0.5319912433624268,-0.06535124033689499,0.20350146293640137,0.5256158709526062,-0.08880867809057236,0.1384529173374176,0.5223466753959656,-0.10506439954042435,0.4158519208431244,0.6016016006469727,-0.037847861647605896,0.29619666934013367,0.5869508385658264,-0.06440959870815277,0.21766145527362823,0.5767948031425476,-0.0866348072886467,0.1546509861946106,0.5691090822219849,-0.10027644038200378,0.4336166977882385,0.6602792143821716,-0.0395638644695282,0.3394910395145416,0.6449546217918396,-0.0676702931523323,0.2757892310619354,0.6338461637496948,-0.08457892388105392,0.22300496697425842,0.622734546661377,-0.0932387113571167
5,5,0.4478575587272644,0.7340654134750366,1.073016846930841e-06,0.5437396764755249,0.7174693942070007,-0.06351498514413834,0.6188026666641235,0.664654016494751,-0.10136817395687103,0.6627575159072876,0.604209840297699,-0.13131293654441833,0.6978886127471924,0.5562906265258789,-0.1608685404062271,0.5450040698051453,0.5080512166023254,-0.08062697947025299,0.5772120356559753,0.39946895837783813,-0.12367058545351028,0.5943066477775574,0.32737094163894653,-0.1564391702413559,0.6043554544448853,0.2697967290878296,-0.17854022979736328,0.4795410931110382,0.49199381470680237,-0.07593472301959991,0.4925333857536316,0.3774406313896179,-0.11232546716928482,0.49766725301742554,0.29800111055374146,-0.14152121543884277,0.4983889162540436,0.23698297142982483,-0.16231819987297058,0.4162052571773529,0.5069441795349121,-0.07661122828722,0.4099161624908447,0.4054991602897644,-0.11266881972551346,0.40734583139419556,0.33304494619369507,-0.13885904848575592,0.407186359167099,0.2769091725349426,-0.15594954788684845,0.3545621633529663,0.548083484172821,-0.08186089992523193,0.3108733892440796,0.4746543765068054,-0.11635888367891312,0.2864982485771179,0.4221001863479614,-0.13278886675834656,0.27104997634887695,0.37828558683395386,-0.14211004972457886
good,yes,0.10653167217969894,0.3343798816204071,1.8295996540018677e-07,0.14520157873630524,0.33649855852127075,-0.041628818958997726,0.17212072014808655,0.3316309154033661,-0.07584310322999954,0.19059771299362183,0.3221687078475952,-0.10414202511310577,0.19444981217384338,0.31257903575897217,-0.1319814771413803,0.1125272810459137,0.33234450221061707,-0.08079548180103302,0.10528084635734558,0.32842379808425903,-0.11280910670757294,0.11240030825138092,0.3195706307888031,-0.1336974799633026,0.11813318729400635,0.313833087682724,-0.14631952345371246,0.08780206739902496,0.3268776834011078,-0.07124309241771698,0.07245942950248718,0.3139645457267761,-0.09571225196123123,0.07143498212099075,0.2989574074745178,-0.11060270667076111,0.06716619431972504,0.2845916450023651,-0.12449381500482559,0.06686417013406754,0.31833237409591675,-0.06234592944383621,0.049951665103435516,0.30092597007751465,-0.08136535435914993,0.04142299294471741,0.28080323338508606,-0.09153664857149124,0.03360683470964432,0.2621309459209442,-0.10083508491516113,0.05150102078914642,0.30927833914756775,-0.05599917098879814,0.0327044278383255,0.29101091623306274,-0.0652911365032196,0.023449048399925232,0.27435240149497986,-0.06860050559043884,0.01610938459634781,0.2594698369503021,-0.0742160901427269
b,4,0.5710989832878113,0.7330420017242432,1.6395559896409395e-06,0.6402205228805542,0.6988615989685059,-0.0654587596654892,0.6678392887115479,0.6439754962921143,-0.11316661536693573,0.58406001329422,0.6195136904716492,-0.15282411873340607,0.5014480352401733,0.6201677322387695,-0.19796505570411682,0.6561292409896851,0.5093846321105957,-0.12396612763404846,0.7065304517745972,0.3665691018104553,-0.1870105117559433,0.732540488243103,0.2659897208213806,-0.2276849001646042,0.7485968470573425,0.1892547607421875,-0.25245264172554016,0.5659006834030151,0.5032029747962952,-0.12642645835876465,0.5645004510879517,0.34773755073547363,-0.17875538766384125,0.5561397671699524,0.24315902590751648,-0.2156987488269806,0.5503605008125305,0.15944671630859375,-0.23991845548152924,0.4937762916088104,0.53156578540802,-0.13146737217903137,0.46323657035827637,0.4028712809085846,-0.17637483775615692,0.44512492418289185,0.3151223063468933,-0.20434415340423584,0.4343602657318115,0.2436746209859848,-0.2220761626958847,0.43305277824401855,0.5839442610740662,-0.14065365493297577,0.3993804454803467,0.4971802234649658,-0.18030859529972076,0.377873957157135,0.4354841113090515,-0.19339308142662048,0.36401909589767456,0.3780219554901123,-0.19927826523780823
a,a,0.4714500904083252,0.6592097282409668,-1.1440039315857575e-06,0.5779954195022583,0.5539305210113525,-0.027419283986091614,0.6372339129447937,0.4110409915447235,-0.03042561747133732,0.637872576713562,0.2990815341472626,-0.034391410648822784,0.6346411108970642,0.22067898511886597,-0.02594604156911373,0.5213889479637146,0.33359527587890625,0.008277013897895813,0.5448126196861267,0.27074113488197327,-0.038502756506204605,0.5580289363861084,0.38358232378959656,-0.05783458799123764,0.542515218257904,0.39675334095954895,-0.06829565018415451,0.44501325488090515,0.3533303737640381,0.0022926689125597477,0.4647539556026459,0.2952169179916382,-0.047708217054605484,0.4927503764629364,0.4151148200035095,-0.052250418812036514,0.4742157757282257,0.422065794467926,-0.046150121837854385,0.3733484447002411,0.38806140422821045,-0.013020486570894718,0.3777351379394531,0.31999635696411133,-0.06598785519599915,0.4212797284126282,0.430659681558609,-0.03886810317635536,0.4093882143497467,0.4471386671066284,-0.010837415233254433,0.3001323938369751,0.43279212713241577,-0.03057846985757351,0.30660194158554077,0.38522979617118835,-0.055917173624038696,0.3508952856063843,0.4544244110584259,-0.02819701097905636,0.3520011305809021,0.4719650447368622,-0.0017012216849252582
