# validation_accuracy,testing_accuracy,activation,structure,init_learning_rate,learning_type,regulizer,model
84.28324697754749,91.6955017301038,tanh,63-36-27,0.007,adaptive,0.7,
84.28324697754749,95.50173010380622,logistic,63-36-27,0.0004,adaptive,0.07,
84.11053540587218,96.36678200692042,logistic,63-36-27,0.5,adaptive,0.04,
83.93782383419689,94.4636678200692,tanh,63-36-27,0.05,adaptive,0.4,
83.93782383419689,91.46482122260669,logistic,63-18-27,0.0005,adaptive,0.05,
83.93782383419689,97.52018454440599,logistic,63-42-27-27,0.04,adaptive,0.1,
83.7651122625216,99.65397923875432,tanh,63-51-39-27,0.04,adaptive,0.5,
83.7651122625216,98.26989619377161,tanh,63-42-27-27,0.05,adaptive,0.7,
83.7651122625216,99.19261822376009,tanh,63-42-27-27,0.004,adaptive,0.4,
83.7651122625216,90.83044982698962,logistic,63-18-27,0.1,adaptive,0.07,
83.7651122625216,91.23414071510958,logistic,63-18-27,0.0001,adaptive,0.05,
83.7651122625216,97.17416378316032,logistic,63-36-27,0.05,adaptive,0.05,
83.59240069084629,93.59861591695503,tanh,63-18-27,0.04,adaptive,0.07,
83.59240069084629,99.59630911188005,tanh,63-51-39-27,0.0007,adaptive,0.7,
83.59240069084629,97.17416378316032,tanh,63-42-27-27,0.04,adaptive,0.7,
83.59240069084629,91.98385236447521,logistic,63-18-27,0.7,adaptive,0.05,
83.59240069084629,97.05882352941177,logistic,63-36-27,0.1,adaptive,0.005,
83.59240069084629,97.05882352941177,logistic,63-36-27,0.4,adaptive,0.05,
83.59240069084629,97.92387543252595,logistic,63-36-27,0.7,adaptive,0.007,
83.59240069084629,94.4636678200692,logistic,63-36-27,0.07,adaptive,0.1,
83.59240069084629,94.05997693194925,logistic,63-36-27,0.0007,adaptive,0.1,
83.59240069084629,99.94232987312573,logistic,63-51-39-27,0.7,adaptive,0.04,
83.59240069084629,99.19261822376009,logistic,63-51-39-27,0.01,adaptive,0.1,
83.59240069084629,92.7912341407151,relu,63-36-27,0.0001,adaptive,0.04,
83.41968911917098,99.30795847750865,tanh,63-36-27,0.001,adaptive,0.07,
83.41968911917098,99.59630911188005,tanh,63-36-27,0.005,adaptive,0.07,
83.41968911917098,99.94232987312573,tanh,63-51-39-27,0.0007,adaptive,0.4,
