# predicted,target,WRIST.x,WRIST.y,WRIST.z,THUMB_CMC.x,THUMB_CMC.y,THUMB_CMC.z,THUMB_MCP.x,THUMB_MCP.y,THUMB_MCP.z,THUMB_IP.x,THUMB_IP.y,THUMB_IP.z,THUMB_TIP.x,THUMB_TIP.y,THUMB_TIP.z,INDEX_FINGER_MCP.x,INDEX_FINGER_MCP.y,INDEX_FINGER_MCP.z,INDEX_FINGER_PIP.x,INDEX_FINGER_PIP.y,INDEX_FINGER_PIP.z,INDEX_FINGER_DIP.x,INDEX_FINGER_DIP.y,INDEX_FINGER_DIP.z,INDEX_FINGER_TIP.x,INDEX_FINGER_TIP.y,INDEX_FINGER_TIP.z,MIDDLE_FINGER_MCP.x,MIDDLE_FINGER_MCP.y,MIDDLE_FINGER_MCP.z,MIDDLE_FINGER_PIP.x,MIDDLE_FINGER_PIP.y,MIDDLE_FINGER_PIP.z,MIDDLE_FINGER_DIP.x,MIDDLE_FINGER_DIP.y,MIDDLE_FINGER_DIP.z,MIDDLE_FINGER_TIP.x,MIDDLE_FINGER_TIP.y,MIDDLE_FINGER_TIP.z,RING_FINGER_MCP.x,RING_FINGER_MCP.y,RING_FINGER_MCP.z,RING_FINGER_PIP.x,RING_FINGER_PIP.y,RING_FINGER_PIP.z,RING_FINGER_DIP.x,RING_FINGER_DIP.y,RING_FINGER_DIP.z,RING_FINGER_TIP.x,RING_FINGER_TIP.y,RING_FINGER_TIP.z,PINKY_MCP.x,PINKY_MCP.y,PINKY_MCP.z,PINKY_PIP.x,PINKY_PIP.y,PINKY_PIP.z,PINKY_DIP.x,PINKY_DIP.y,PINKY_DIP.z,PINKY_TIP.x,PINKY_TIP.y,PINKY_TIP.z
good,good,0.5837768316268921,0.7447751760482788,8.337515851053467e-07,0.6171502470970154,0.6388535499572754,-0.04636410251259804,0.6012758016586304,0.5235874056816101,-0.07318990677595139,0.6054012179374695,0.42917096614837646,-0.09540803730487823,0.6225499510765076,0.35160624980926514,-0.11944466829299927,0.43208780884742737,0.5002888441085815,-0.05633709952235222,0.3252713978290558,0.42400527000427246,-0.08757269382476807,0.25532710552215576,0.37652039527893066,-0.11495471745729446,0.19631527364253998,0.3383534550666809,-0.13545551896095276,0.37641119956970215,0.559567928314209,-0.05650003254413605,0.26426035165786743,0.47611600160598755,-0.0812557116150856,0.18994571268558502,0.41471153497695923,-0.10673152655363083,0.13293170928955078,0.36493462324142456,-0.12766698002815247,0.3411174714565277,0.626300573348999,-0.0604243129491806,0.24624374508857727,0.5463877320289612,-0.08335522562265396,0.1838495284318924,0.48790645599365234,-0.10311464965343475,0.13593700528144836,0.43858933448791504,-0.11767109483480453,0.3233875334262848,0.695967435836792,-0.0684119164943695,0.24975290894508362,0.633090615272522,-0.09140896052122116,0.20036724209785461,0.5888551473617554,-0.10202677547931671,0.16024082899093628,0.5482818484306335,-0.10801234096288681
please,please,0.1631850004196167,0.5301822423934937,8.216262585847289e-07,0.22005502879619598,0.4015893042087555,-0.011106535792350769,0.299457848072052,0.3126576542854309,-0.026548033580183983,0.39033186435699463,0.2796192765235901,-0.03886934742331505,0.46561765670776367,0.28118735551834106,-0.04917765408754349,0.4007928669452667,0.36561059951782227,-0.04522402957081795,0.5573861002922058,0.3533966541290283,-0.07050519436597824,0.6425413489341736,0.3513515591621399,-0.08229261636734009,0.7099368572235107,0.3499716520309448,-0.08585207164287567,0.420890212059021,0.45353761315345764,-0.05103112384676933,0.5762441158294678,0.4308084547519684,-0.0698852390050888,0.6660637855529785,0.42191168665885925,-0.07893384248018265,0.7336926460266113,0.41505831480026245,-0.08184651285409927,0.42900288105010986,0.5300278067588806,-0.05538983643054962,0.5631062984466553,0.505132794380188,-0.07117365300655365,0.6501072645187378,0.4931618869304657,-0.07710760831832886,0.7163490056991577,0.4810754954814911,-0.07748279720544815,0.4257128834724426,0.5922267436981201,-0.05877643823623657,0.5346337556838989,0.5688348412513733,-0.06619028747081757,0.5986190438270569,0.5547851324081421,-0.058728352189064026,0.6497573852539062,0.5424402952194214,-0.04827102646231651
project,project,0.8363615870475769,0.444049596786499,6.424272100957751e-07,0.7899940013885498,0.3035443425178528,-0.04811103269457817,0.6665869951248169,0.21091191470623016,-0.05466023087501526,0.555919349193573,0.17493434250354767,-0.05672002583742142,0.4711666703224182,0.16756834089756012,-0.05667619779706001,0.4620997905731201,0.30819910764694214,-0.007835358381271362,0.3159155547618866,0.30818265676498413,-0.03163260594010353,0.2266642451286316,0.3187369108200073,-0.06046535074710846,0.15358680486679077,0.33327633142471313,-0.08121132850646973,0.4411626160144806,0.39561086893081665,-0.004906126763671637,0.2786906957626343,0.3987855017185211,-0.022313963621854782,0.17481562495231628,0.40274012088775635,-0.049873653799295425,0.09036484360694885,0.4104105532169342,-0.06974027305841446,0.4498617649078369,0.4776594340801239,-0.00974554754793644,0.2961147427558899,0.4802883267402649,-0.028424903750419617,0.2021503746509552,0.4745040237903595,-0.049596235156059265,0.12189233303070068,0.47240763902664185,-0.0636032298207283,0.48492372035980225,0.5567572712898254,-0.02015574835240841,0.3584970533847809,0.554061770439148,-0.039747368544340134,0.28192615509033203,0.5460041761398315,-0.048469167202711105,0.21348419785499573,0.535830020904541,-0.05214104801416397
3,3,0.4181281626224518,0.7986438870429993,9.47970875131432e-07,0.5098103284835815,0.7537447810173035,-0.05422990024089813,0.5815191864967346,0.6551095843315125,-0.07433431595563889,0.6345601677894592,0.5785789489746094,-0.09291351586580276,0.6900708675384521,0.5320242047309875,-0.11119820177555084,0.4697866141796112,0.5401186943054199,-0.04291762411594391,0.4618057608604431,0.42849892377853394,-0.07963462918996811,0.44637882709503174,0.3562062382698059,-0.10250026732683182,0.4302801787853241,0.2974224090576172,-0.11464966833591461,0.3959415853023529,0.553749680519104,-0.04440295696258545,0.35150086879730225,0.4327249825000763,-0.09096343070268631,0.3224353492259979,0.35005152225494385,-0.12128566205501556,0.29561322927474976,0.2840142548084259,-0.1330755352973938,0.33604177832603455,0.5946242213249207,-0.05087649077177048,0.31254783272743225,0.5572994351387024,-0.12077519297599792,0.34886080026626587,0.6291663646697998,-0.13148480653762817,0.376257061958313,0.6832423210144043,-0.1146000474691391,0.28669077157974243,0.6509586572647095,-0.06045147404074669,0.26737603545188904,0.6083233952522278,-0.11154157668352127,0.30092617869377136,0.6586039066314697,-0.10355475544929504,0.32719242572784424,0.7006454467773438,-0.08121626079082489
project,project,0.8964830636978149,0.46742817759513855,5.097219855088042e-07,0.846966564655304,0.35814711451530457,-0.04560830444097519,0.7342239022254944,0.28388169407844543,-0.06059808284044266,0.6266184449195862,0.24179351329803467,-0.07105561345815659,0.5395172238349915,0.2145015448331833,-0.07886399328708649,0.560328483581543,0.37158632278442383,-0.016225358471274376,0.4253399670124054,0.3886449933052063,-0.04040702059864998,0.3466935157775879,0.4098615050315857,-0.06651443988084793,0.28364452719688416,0.4307699203491211,-0.08497077226638794,0.5531730055809021,0.442562073469162,-0.012117801234126091,0.4085899591445923,0.46218472719192505,-0.030031492933630943,0.3178207576274872,0.47969701886177063,-0.054027676582336426,0.2454817295074463,0.497364342212677,-0.07206635922193527,0.5692287087440491,0.5101751089096069,-0.014638585969805717,0.43390220403671265,0.5243051052093506,-0.032045744359493256,0.3545365333557129,0.5326007604598999,-0.04743514582514763,0.2884753942489624,0.5419331192970276,-0.05823696032166481,0.6034746170043945,0.5749775171279907,-0.022169869393110275,0.4955808222293854,0.5810713171958923,-0.039021678268909454,0.4300801157951355,0.583097517490387,-0.0450977087020874,0.372344434261322,0.5847159624099731,-0.04737910255789757
b,b,0.40688440203666687,0.8396772146224976,1.0968923334075953e-06,0.5086144208908081,0.7864256501197815,-0.05979299172759056,0.5373209714889526,0.6646081209182739,-0.08073638379573822,0.46118199825286865,0.5913001894950867,-0.09370099008083344,0.3737490177154541,0.5916745662689209,-0.10703025758266449,0.5347139239311218,0.5092601776123047,-0.05623830109834671,0.5366242527961731,0.35584551095962524,-0.09317708760499954,0.5307813286781311,0.26120463013648987,-0.12396235764026642,0.5202131867408752,0.18647894263267517,-0.14498409628868103,0.4539613723754883,0.5036305785179138,-0.05362218990921974,0.4581243097782135,0.34019923210144043,-0.08306323736906052,0.45401862263679504,0.2339322865009308,-0.11258717626333237,0.44688189029693604,0.1472526490688324,-0.1324845850467682,0.38233891129493713,0.522163450717926,-0.057062678039073944,0.38001683354377747,0.3730981945991516,-0.08579116314649582,0.38140371441841125,0.2807244062423706,-0.1113956868648529,0.3805875778198242,0.20602256059646606,-0.12764395773410797,0.31226879358291626,0.5633179545402527,-0.06593098491430283,0.310492604970932,0.4503609240055084,-0.09157723933458328,0.31728315353393555,0.3778614401817322,-0.10121972113847733,0.3224792182445526,0.31369322538375854,-0.10628993064165115
0,0,0.38542652130126953,0.6159404516220093,4.958922090736451e-07,0.4304662048816681,0.5861837863922119,0.001519901561550796,0.4707930386066437,0.5286687612533569,-0.001717198989354074,0.5051955580711365,0.4875817596912384,-0.009633817709982395,0.5174919366836548,0.4487636983394623,-0.015565174631774426,0.37144652009010315,0.452529639005661,0.018485266715288162,0.4115423560142517,0.408474862575531,0.002557717263698578,0.4625639319419861,0.40305429697036743,-0.014444936066865921,0.4956497550010681,0.4143575429916382,-0.02419963665306568,0.3572930693626404,0.4535555839538574,0.008215066976845264,0.40457385778427124,0.40290194749832153,-0.0028395482804626226,0.45731788873672485,0.3983366787433624,-0.013621203601360321,0.49337947368621826,0.409187912940979,-0.021371029317378998,0.35558706521987915,0.45875513553619385,-0.004996240139007568,0.40716639161109924,0.4093688428401947,-0.01408479642122984,0.45779964327812195,0.4075668454170227,-0.015042219310998917,0.4898139238357544,0.4194797873497009,-0.014985754154622555,0.3653400242328644,0.4696926176548004,-0.019572775810956955,0.4086374342441559,0.42347612977027893,-0.023933792486786842,0.4478815793991089,0.41477906703948975,-0.02046414464712143,0.4748164415359497,0.42002254724502563,-0.017270896583795547
5,5,0.5401723980903625,0.7606630921363831,1.020296849674196e-06,0.622269332408905,0.6832865476608276,-0.05233829841017723,0.6728590726852417,0.5761933922767639,-0.0816187709569931,0.701614499092102,0.4873490631580353,-0.10664938390254974,0.7384867668151855,0.42188841104507446,-0.131173774600029,0.5243091583251953,0.45599836111068726,-0.05086531862616539,0.5246257781982422,0.33186477422714233,-0.0911959782242775,0.5164297819137573,0.2516480088233948,-0.12491165101528168,0.5070943236351013,0.1889893114566803,-0.14710316061973572,0.44636791944503784,0.4678194224834442,-0.05303088575601578,0.4104483723640442,0.32999318838119507,-0.083626888692379,0.3850739002227783,0.24673433601856232,-0.11087659001350403,0.3626672029495239,0.18192145228385925,-0.12980607151985168,0.3826424479484558,0.5052852034568787,-0.061336904764175415,0.33697623014450073,0.385048508644104,-0.09280693531036377,0.31100767850875854,0.3085402250289917,-0.11643311381340027,0.2928299903869629,0.2486460655927658,-0.1312190741300583,0.33079975843429565,0.5690152049064636,-0.0742146298289299,0.26188182830810547,0.4987400472164154,-0.10282143950462341,0.2212187647819519,0.44911321997642517,-0.11293008923530579,0.18915852904319763,0.402638703584671,-0.11734239012002945
good,good,0.5885237455368042,0.6725171208381653,1.486294308961078e-06,0.6240636110305786,0.5528162121772766,-0.08309228718280792,0.6249868869781494,0.42171570658683777,-0.1411340981721878,0.6281906366348267,0.30991649627685547,-0.19057832658290863,0.6320400238037109,0.22225379943847656,-0.24215315282344818,0.4232713580131531,0.39440104365348816,-0.11647684872150421,0.30841976404190063,0.28738629817962646,-0.1798490583896637,0.2339136153459549,0.22675690054893494,-0.22363348305225372,0.17280645668506622,0.17666107416152954,-0.25153204798698425,0.3756465017795563,0.44482919573783875,-0.11232321709394455,0.24727165699005127,0.3350432217121124,-0.17048704624176025,0.16422806680202484,0.2645801305770874,-0.21093428134918213,0.09604395925998688,0.2074916511774063,-0.23686227202415466,0.3477330803871155,0.5123464465141296,-0.11439207941293716,0.22015908360481262,0.41522735357284546,-0.1645539551973343,0.1493510901927948,0.344284325838089,-0.1953071802854538,0.09349744021892548,0.2835223972797394,-0.21311502158641815,0.3353128135204315,0.5930251479148865,-0.12295791506767273,0.23943403363227844,0.5247390866279602,-0.16130125522613525,0.18625661730766296,0.46997055411338806,-0.17701226472854614,0.14313466846942902,0.41623756289482117,-0.18530650436878204
9,9,0.4833202064037323,0.7442469596862793,4.6055930624788743e-07,0.5586215853691101,0.6652840375900269,-0.041295599192380905,0.6097773313522339,0.5730299353599548,-0.06662390381097794,0.6119254231452942,0.5017294883728027,-0.09387460350990295,0.559894859790802,0.47294995188713074,-0.11747395992279053,0.499249666929245,0.4400300085544586,-0.019022023305296898,0.5009139180183411,0.33686161041259766,-0.08422647416591644,0.5214438438415527,0.3705732822418213,-0.14000241458415985,0.5345532298088074,0.4223176836967468,-0.16524174809455872,0.4347550868988037,0.4373292326927185,-0.027611928060650826,0.42208534479141235,0.2917533218860626,-0.05994512513279915,0.4152921140193939,0.19927507638931274,-0.09481336176395416,0.4080648124217987,0.12116473913192749,-0.11860644817352295,0.37488070130348206,0.46274062991142273,-0.04735719785094261,0.3509804904460907,0.32984551787376404,-0.07666691392660141,0.34107351303100586,0.24670563638210297,-0.10492390394210815,0.3373090326786041,0.17877918481826782,-0.12200810760259628,0.3183198571205139,0.5153655409812927,-0.07214025408029556,0.28098902106285095,0.41891300678253174,-0.08827990293502808,0.2599273920059204,0.355416476726532,-0.09224840253591537,0.24491822719573975,0.2991456389427185,-0.09397171437740326
