# predicted,target,WRIST.x,WRIST.y,WRIST.z,THUMB_CMC.x,THUMB_CMC.y,THUMB_CMC.z,THUMB_MCP.x,THUMB_MCP.y,THUMB_MCP.z,THUMB_IP.x,THUMB_IP.y,THUMB_IP.z,THUMB_TIP.x,THUMB_TIP.y,THUMB_TIP.z,INDEX_FINGER_MCP.x,INDEX_FINGER_MCP.y,INDEX_FINGER_MCP.z,INDEX_FINGER_PIP.x,INDEX_FINGER_PIP.y,INDEX_FINGER_PIP.z,INDEX_FINGER_DIP.x,INDEX_FINGER_DIP.y,INDEX_FINGER_DIP.z,INDEX_FINGER_TIP.x,INDEX_FINGER_TIP.y,INDEX_FINGER_TIP.z,MIDDLE_FINGER_MCP.x,MIDDLE_FINGER_MCP.y,MIDDLE_FINGER_MCP.z,MIDDLE_FINGER_PIP.x,MIDDLE_FINGER_PIP.y,MIDDLE_FINGER_PIP.z,MIDDLE_FINGER_DIP.x,MIDDLE_FINGER_DIP.y,MIDDLE_FINGER_DIP.z,MIDDLE_FINGER_TIP.x,MIDDLE_FINGER_TIP.y,MIDDLE_FINGER_TIP.z,RING_FINGER_MCP.x,RING_FINGER_MCP.y,RING_FINGER_MCP.z,RING_FINGER_PIP.x,RING_FINGER_PIP.y,RING_FINGER_PIP.z,RING_FINGER_DIP.x,RING_FINGER_DIP.y,RING_FINGER_DIP.z,RING_FINGER_TIP.x,RING_FINGER_TIP.y,RING_FINGER_TIP.z,PINKY_MCP.x,PINKY_MCP.y,PINKY_MCP.z,PINKY_PIP.x,PINKY_PIP.y,PINKY_PIP.z,PINKY_DIP.x,PINKY_DIP.y,PINKY_DIP.z,PINKY_TIP.x,PINKY_TIP.y,PINKY_TIP.z
little bit,little bit,0.7002336978912354,0.5735924243927002,1.6583342699050263e-07,0.6155950427055359,0.6136890649795532,-0.09009430557489395,0.4671669900417328,0.5886656641960144,-0.12196831405162811,0.3394768238067627,0.5632472038269043,-0.13006450235843658,0.2449837625026703,0.551483154296875,-0.13440820574760437,0.5488097667694092,0.4119803309440613,-0.15127533674240112,0.3831646740436554,0.4024507403373718,-0.19133757054805756,0.2779940664768219,0.4076675474643707,-0.2093653380870819,0.1936793476343155,0.41595691442489624,-0.2201761156320572,0.5564389228820801,0.37602806091308594,-0.11618112027645111,0.38873210549354553,0.3601313829421997,-0.15880833566188812,0.27793681621551514,0.36844009160995483,-0.17586417496204376,0.19279040396213531,0.3767300248146057,-0.18604201078414917,0.5541815161705017,0.3698198199272156,-0.08209242671728134,0.40140530467033386,0.3596421182155609,-0.12257681041955948,0.2962421476840973,0.36921852827072144,-0.1377517580986023,0.2236100733280182,0.3785633444786072,-0.14186660945415497,0.5392858982086182,0.3785032331943512,-0.052250612527132034,0.4139169156551361,0.3687474727630615,-0.08708028495311737,0.330283522605896,0.37790629267692566,-0.09965038299560547,0.2730002701282501,0.3874798119068146,-0.1039576530456543
4,4,0.5460757613182068,0.7382168769836426,7.731252935627708e-07,0.5544949173927307,0.7234020829200745,-0.06310068070888519,0.5391703248023987,0.6810299158096313,-0.09999973326921463,0.4891599416732788,0.648935079574585,-0.13067975640296936,0.43741512298583984,0.6317160129547119,-0.1613103598356247,0.5032233595848083,0.5517609715461731,-0.08462617546319962,0.46785327792167664,0.4427843987941742,-0.12816163897514343,0.44101768732070923,0.36756765842437744,-0.15504463016986847,0.422050416469574,0.3103424906730652,-0.17014411091804504,0.49204909801483154,0.5382731556892395,-0.07871727645397186,0.46146130561828613,0.4258166253566742,-0.12141960859298706,0.4478064775466919,0.34711700677871704,-0.1473948061466217,0.44150546193122864,0.2824118435382843,-0.16055244207382202,0.48032811284065247,0.5499268174171448,-0.07779551297426224,0.4718272089958191,0.48526832461357117,-0.12421540170907974,0.4885083734989166,0.48403292894363403,-0.1400904357433319,0.5037398338317871,0.48615509271621704,-0.13988332450389862,0.46091800928115845,0.5737376809120178,-0.08089113235473633,0.4089362621307373,0.5180534720420837,-0.11294439435005188,0.38410812616348267,0.4982806444168091,-0.11864122003316879,0.365111768245697,0.4824887216091156,-0.11635404825210571
e,no,0.41200679540634155,0.6379983425140381,-4.942638724969584e-07,0.4774892330169678,0.6030925512313843,-0.05467705428600311,0.5157666206359863,0.543597400188446,-0.08859166502952576,0.48671990633010864,0.4980332851409912,-0.11869476735591888,0.431715726852417,0.474183052778244,-0.1411212533712387,0.4996378421783447,0.363729327917099,-0.035269759595394135,0.5197415947914124,0.34353652596473694,-0.09828554093837738,0.5272824168205261,0.41471371054649353,-0.1409478485584259,0.5199214816093445,0.47263622283935547,-0.15967628359794617,0.4309963583946228,0.3576042950153351,-0.03164656460285187,0.4366421699523926,0.33705663681030273,-0.08924656361341476,0.4502791166305542,0.42688363790512085,-0.10850462317466736,0.45129454135894775,0.47694364190101624,-0.10765496641397476,0.3639810085296631,0.37380102276802063,-0.038621868938207626,0.3601166307926178,0.3704023063182831,-0.08576636761426926,0.3794441819190979,0.4400736093521118,-0.08210291713476181,0.3848155438899994,0.46905362606048584,-0.0668504610657692,0.30278557538986206,0.4053311347961426,-0.05129438638687134,0.297773540019989,0.3921107053756714,-0.0717988982796669,0.31890395283699036,0.4355139136314392,-0.05908072367310524,0.32929661870002747,0.45384863018989563,-0.04215244576334953
1,c,0.7423965334892273,0.7594631910324097,-2.057536363508916e-07,0.7531130909919739,0.7295470237731934,-0.01241452619433403,0.7614479064941406,0.6930093169212341,-0.03156815469264984,0.7647597193717957,0.6623806357383728,-0.05040834844112396,0.7677265405654907,0.6432942748069763,-0.07124816626310349,0.7606819272041321,0.7077866196632385,-0.04372444003820419,0.7682715654373169,0.6758565306663513,-0.062472641468048096,0.7692811489105225,0.6605004668235779,-0.07718010991811752,0.7683486938476562,0.6506825685501099,-0.08599056303501129,0.7516008019447327,0.7191929221153259,-0.04425714164972305,0.7517243027687073,0.6849782466888428,-0.05537092685699463,0.7472653388977051,0.6656605005264282,-0.05945200100541115,0.7423322200775146,0.6552137732505798,-0.06506720185279846,0.7425481677055359,0.7328068017959595,-0.04356732964515686,0.7426490783691406,0.706421971321106,-0.052149832248687744,0.7373539209365845,0.6907071471214294,-0.05022963881492615,0.7334785461425781,0.6815628409385681,-0.049833450466394424,0.7350221276283264,0.7465284466743469,-0.04382910579442978,0.7351216673851013,0.732513964176178,-0.04462072253227234,0.7324195504188538,0.7233096957206726,-0.03724318742752075,0.7306723594665527,0.716556191444397,-0.03340087831020355
5,5,0.5119162797927856,0.7131009101867676,6.492518309642037e-07,0.5763483047485352,0.6500914096832275,-0.031357940286397934,0.6131455302238464,0.5635640621185303,-0.04689307138323784,0.6351076364517212,0.49064382910728455,-0.06071910262107849,0.6676454544067383,0.4422820806503296,-0.07505769282579422,0.533910870552063,0.466001957654953,-0.03341520577669144,0.5386434197425842,0.3632349669933319,-0.060152217745780945,0.5362207889556885,0.3002206087112427,-0.08154531568288803,0.5307468771934509,0.24955368041992188,-0.0960368663072586,0.477917343378067,0.4706486463546753,-0.03841759264469147,0.4710443913936615,0.3587554097175598,-0.0609729140996933,0.4632267355918884,0.28851449489593506,-0.07990702241659164,0.45515018701553345,0.2362212836742401,-0.09265096485614777,0.42658957839012146,0.4937247335910797,-0.04715544357895851,0.4119611978530884,0.3905719220638275,-0.06991574913263321,0.4075110852718353,0.3270947337150574,-0.08599943667650223,0.406830370426178,0.279773473739624,-0.09631676226854324,0.3786080479621887,0.5362725853919983,-0.05870765075087547,0.34448766708374023,0.4663257896900177,-0.0806937888264656,0.32561010122299194,0.4184132516384125,-0.08904672414064407,0.3121786117553711,0.37690556049346924,-0.09290987998247147
d,d,0.8332499861717224,0.9222627878189087,-7.039039928713464e-07,0.6661267280578613,0.9135847687721252,0.0007374440901912749,0.5313570499420166,0.8410155773162842,0.005851329304277897,0.419787734746933,0.7789359092712402,0.0019174414919689298,0.3288390040397644,0.7273546457290649,0.00485489284619689,0.537248432636261,0.6519182920455933,0.07125764340162277,0.42395105957984924,0.537710428237915,0.04335879161953926,0.36061543226242065,0.5929540991783142,0.014504075050354004,0.3459823429584503,0.6722567081451416,0.0031194170005619526,0.5521150231361389,0.6311427354812622,0.05703669786453247,0.4171481430530548,0.533715546131134,0.035590607672929764,0.35614141821861267,0.6065065860748291,0.010930919088423252,0.34946829080581665,0.6844732761383057,0.001095890300348401,0.5648866891860962,0.6237666606903076,0.033700667321681976,0.43204444646835327,0.5435611009597778,0.015721041709184647,0.3730725646018982,0.6182501316070557,0.004635843448340893,0.364319384098053,0.6949225664138794,0.005660487804561853,0.5763807892799377,0.6226605176925659,0.008466089144349098,0.4625324606895447,0.565805971622467,0.0015606761444360018,0.39756640791893005,0.6079278588294983,0.0008344750385731459,0.3783581256866455,0.6608582139015198,0.006754896603524685
whats up,whats up,0.45130735635757446,0.8721947073936462,1.4060168496143888e-07,0.5648998022079468,0.8406919836997986,-0.05499407649040222,0.6559286713600159,0.6928761005401611,-0.07924965023994446,0.7033224701881409,0.5682390928268433,-0.09431024640798569,0.7557958364486694,0.47925278544425964,-0.10259754210710526,0.5774824023246765,0.5384047627449036,-0.04683947190642357,0.5967543721199036,0.3864928185939789,-0.0943208783864975,0.6157732009887695,0.2818743884563446,-0.11869367212057114,0.6355429291725159,0.19548481702804565,-0.13825808465480804,0.48334959149360657,0.5168410539627075,-0.05127181485295296,0.5187558531761169,0.41732972860336304,-0.15808890759944916,0.5210034847259521,0.5346273183822632,-0.17668694257736206,0.5295132398605347,0.633610188961029,-0.15370824933052063,0.39660823345184326,0.5211446285247803,-0.06671111285686493,0.399486243724823,0.3612437844276428,-0.15219148993492126,0.40882608294487,0.2668527364730835,-0.17716780304908752,0.42343151569366455,0.1743323802947998,-0.17522211372852325,0.3177333474159241,0.5558122396469116,-0.08342164009809494,0.26147815585136414,0.4430263042449951,-0.1301746815443039,0.2203570008277893,0.3740302324295044,-0.14058639109134674,0.18952015042304993,0.2926110625267029,-0.14283372461795807
pardon,pardon,0.3380277752876282,0.6505138278007507,-8.109025202429621e-07,0.33882278203964233,0.5207831859588623,-0.01958657056093216,0.42304909229278564,0.4205867648124695,-0.02910439297556877,0.5211204886436462,0.3660551905632019,-0.03600234538316727,0.5905855298042297,0.3225950598716736,-0.03636052832007408,0.5227596759796143,0.45417433977127075,-0.022274166345596313,0.6170336008071899,0.4214972257614136,-0.03905712440609932,0.5770527124404907,0.4357307255268097,-0.044424377381801605,0.5249020457267761,0.4582570493221283,-0.044357188045978546,0.5510010719299316,0.5407867431640625,-0.022577928379178047,0.625355064868927,0.5074917078018188,-0.029392540454864502,0.5843778848648071,0.510733425617218,-0.030043628066778183,0.5351543426513672,0.5246717929840088,-0.02952657826244831,0.5596492290496826,0.6243537664413452,-0.024765662848949432,0.620413064956665,0.5917024612426758,-0.03475680947303772,0.5831596851348877,0.5907281041145325,-0.027023330330848694,0.5404630303382874,0.6037496328353882,-0.020847339183092117,0.556869387626648,0.7017421126365662,-0.027699662372469902,0.5993474125862122,0.6718674898147583,-0.03792180120944977,0.5704407095909119,0.6649045944213867,-0.02873554639518261,0.5386660099029541,0.677524209022522,-0.0180272925645113
please,little bit,0.2040046602487564,0.7601733803749084,-1.974703565110758e-07,0.2240370213985443,0.7213338017463684,-0.004206454381346703,0.2619378864765167,0.7000585198402405,-0.008643190376460552,0.2986958622932434,0.6980904936790466,-0.013639390468597412,0.3250344395637512,0.7011958360671997,-0.016842134296894073,0.29306289553642273,0.7295776009559631,-0.007599687669426203,0.34866127371788025,0.722396194934845,-0.01712571457028389,0.3448874354362488,0.7136996984481812,-0.02203363925218582,0.3286783993244171,0.7135100960731506,-0.02292053773999214,0.2979866862297058,0.7533092498779297,-0.009881081990897655,0.352588951587677,0.7445456981658936,-0.017277982085943222,0.347504198551178,0.7352482080459595,-0.020529385656118393,0.32994332909584045,0.7348076105117798,-0.0208798386156559,0.2981162369251251,0.7734420895576477,-0.012657624669373035,0.3488754630088806,0.7630466818809509,-0.01724579744040966,0.3437071144580841,0.753653883934021,-0.01515247207134962,0.32773205637931824,0.752834677696228,-0.012410544790327549,0.29577043652534485,0.7892581224441528,-0.015619673766195774,0.33627602458000183,0.7800074815750122,-0.01742579974234104,0.33410605788230896,0.7707353234291077,-0.012973623350262642,0.32086098194122314,0.7692763805389404,-0.00825772900134325
bye,5,0.47452986240386963,0.7637336254119873,-9.529659195095519e-08,0.5532213449478149,0.7310296297073364,-0.04118284210562706,0.614108681678772,0.6593213677406311,-0.05835185945034027,0.6644883751869202,0.5959213376045227,-0.07259174436330795,0.7143864035606384,0.5592593550682068,-0.0828382596373558,0.5315622091293335,0.5561299920082092,-0.012867583893239498,0.5266047716140747,0.5270711183547974,-0.04538107290863991,0.5249836444854736,0.5704741477966309,-0.07117286324501038,0.5266532897949219,0.6016700267791748,-0.08508925884962082,0.473495751619339,0.5585888624191284,-0.003989363554865122,0.4631236791610718,0.5372532606124878,-0.02918933518230915,0.4659346044063568,0.5811013579368591,-0.04437356814742088,0.4706878364086151,0.6060290336608887,-0.050739627331495285,0.4201718270778656,0.5740094780921936,-0.0025973599404096603,0.4098103642463684,0.5515848398208618,-0.025379858911037445,0.41742587089538574,0.5835505127906799,-0.025537345558404922,0.42404094338417053,0.6035191416740417,-0.020988604053854942,0.3733176589012146,0.5995570421218872,-0.005074623506516218,0.3605102598667145,0.5742689371109009,-0.017318256199359894,0.367642879486084,0.5966807007789612,-0.01027586404234171,0.37531396746635437,0.6128854751586914,-0.00044265075121074915
